,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.731,0.745,1,-5.846,1,0.0293,0.000519,0.00167,0.0679,0.734,115.011,audio_features,7njzY44c9xIbh8igjEd9K8,spotify:track:7njzY44c9xIbh8igjEd9K8,https://api.spotify.com/v1/tracks/7njzY44c9xIbh8igjEd9K8,https://api.spotify.com/v1/audio-analysis/7njzY44c9xIbh8igjEd9K8,251322,4
1,0.742,0.678,5,-4.605,0,0.192,0.0698,0,0.151,0.927,115.05,audio_features,6JqYhSdTE4WbQrMXxPH5cD,spotify:track:6JqYhSdTE4WbQrMXxPH5cD,https://api.spotify.com/v1/tracks/6JqYhSdTE4WbQrMXxPH5cD,https://api.spotify.com/v1/audio-analysis/6JqYhSdTE4WbQrMXxPH5cD,135521,4
2,0.789,0.49,2,-6.588,1,0.0392,0.784,0.000598,0.112,0.869,140.034,audio_features,3TTWpDAiJfyoJDd5v2F8C3,spotify:track:3TTWpDAiJfyoJDd5v2F8C3,https://api.spotify.com/v1/tracks/3TTWpDAiJfyoJDd5v2F8C3,https://api.spotify.com/v1/audio-analysis/3TTWpDAiJfyoJDd5v2F8C3,180000,4
3,0.648,0.727,0,-3.791,1,0.142,0.229,0,0.17,0.689,160.024,audio_features,6ZahaGPhyiXTi1pLEtGM6e,spotify:track:6ZahaGPhyiXTi1pLEtGM6e,https://api.spotify.com/v1/tracks/6ZahaGPhyiXTi1pLEtGM6e,https://api.spotify.com/v1/audio-analysis/6ZahaGPhyiXTi1pLEtGM6e,175067,4
4,0.738,0.696,1,-3.59,1,0.0305,0.0236,9.09E-05,0.338,0.892,101.989,audio_features,2o6dL3brUkkiuFRdrLfdG7,spotify:track:2o6dL3brUkkiuFRdrLfdG7,https://api.spotify.com/v1/tracks/2o6dL3brUkkiuFRdrLfdG7,https://api.spotify.com/v1/audio-analysis/2o6dL3brUkkiuFRdrLfdG7,217136,4
5,0.606,0.775,0,-6.038,0,0.04,0.0086,0.498,0.305,0.508,140.013,audio_features,0zEKfIm5b8EUcDM3qoPXKX,spotify:track:0zEKfIm5b8EUcDM3qoPXKX,https://api.spotify.com/v1/tracks/0zEKfIm5b8EUcDM3qoPXKX,https://api.spotify.com/v1/audio-analysis/0zEKfIm5b8EUcDM3qoPXKX,258547,4
6,0.65,0.527,5,-7.465,0,0.532,0.132,0,0.0902,0.705,120.094,audio_features,5zkZff8E84umaBtOMO5ZQi,spotify:track:5zkZff8E84umaBtOMO5ZQi,https://api.spotify.com/v1/tracks/5zkZff8E84umaBtOMO5ZQi,https://api.spotify.com/v1/audio-analysis/5zkZff8E84umaBtOMO5ZQi,181975,5
7,0.582,0.681,5,-6.138,1,0.0458,0.342,0,0.186,0.273,95.995,audio_features,7egj375ez0KtF3bYCfAHdZ,spotify:track:7egj375ez0KtF3bYCfAHdZ,https://api.spotify.com/v1/tracks/7egj375ez0KtF3bYCfAHdZ,https://api.spotify.com/v1/audio-analysis/7egj375ez0KtF3bYCfAHdZ,230000,4
8,0.726,0.657,10,-7.066,0,0.0327,0.00765,0.000248,0.0975,0.629,114.996,audio_features,4bE6D10MEtSdDt1lxXgTro,spotify:track:4bE6D10MEtSdDt1lxXgTro,https://api.spotify.com/v1/tracks/4bE6D10MEtSdDt1lxXgTro,https://api.spotify.com/v1/audio-analysis/4bE6D10MEtSdDt1lxXgTro,235707,4
9,0.639,0.531,4,-5.531,1,0.0277,0.282,1.45E-06,0.111,0.318,112.926,audio_features,7tsHqxfepei1AdLjy93XIv,spotify:track:7tsHqxfepei1AdLjy93XIv,https://api.spotify.com/v1/tracks/7tsHqxfepei1AdLjy93XIv,https://api.spotify.com/v1/audio-analysis/7tsHqxfepei1AdLjy93XIv,178457,4
