,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,audio_features,3fkPMWQ6cBNBLuFcPyMS8s,spotify:track:3fkPMWQ6cBNBLuFcPyMS8s,https://api.spotify.com/v1/tracks/3fkPMWQ6cBNBLuFcPyMS8s,https://api.spotify.com/v1/audio-analysis/3fkPMWQ6cBNBLuFcPyMS8s,271000,4
1,0.593,0.205,9,-14.601,1,0.0479,0.896,5.46E-05,0.119,0.377,140.279,audio_features,2hitsKa8SthKhRJBXUHbIv,spotify:track:2hitsKa8SthKhRJBXUHbIv,https://api.spotify.com/v1/tracks/2hitsKa8SthKhRJBXUHbIv,https://api.spotify.com/v1/audio-analysis/2hitsKa8SthKhRJBXUHbIv,179760,4
2,0.595,0.465,2,-8.412,0,0.026,0.102,0,0.0641,0.492,124.991,audio_features,0DQqzCHlPyKQXfF8uL01SI,spotify:track:0DQqzCHlPyKQXfF8uL01SI,https://api.spotify.com/v1/tracks/0DQqzCHlPyKQXfF8uL01SI,https://api.spotify.com/v1/audio-analysis/0DQqzCHlPyKQXfF8uL01SI,210525,4
3,0.506,0.442,5,-13.268,0,0.0276,0.0869,0.00239,0.0846,0.532,105.826,audio_features,11607FzqoipskTsXrwEHnJ,spotify:track:11607FzqoipskTsXrwEHnJ,https://api.spotify.com/v1/tracks/11607FzqoipskTsXrwEHnJ,https://api.spotify.com/v1/audio-analysis/11607FzqoipskTsXrwEHnJ,175893,4
4,0.56,0.209,7,-13.591,1,0.039,0.0132,0.551,0.342,0.407,140.744,audio_features,0NSbiBKXoODbsPwjSivfBr,spotify:track:0NSbiBKXoODbsPwjSivfBr,https://api.spotify.com/v1/tracks/0NSbiBKXoODbsPwjSivfBr,https://api.spotify.com/v1/audio-analysis/0NSbiBKXoODbsPwjSivfBr,244400,4
5,0.719,0.896,1,-3.263,1,0.037,0.011,3.25E-05,0.0731,0.746,100.962,audio_features,4UyAtnwhaKv7EG1BdkBYRI,spotify:track:4UyAtnwhaKv7EG1BdkBYRI,https://api.spotify.com/v1/tracks/4UyAtnwhaKv7EG1BdkBYRI,https://api.spotify.com/v1/audio-analysis/4UyAtnwhaKv7EG1BdkBYRI,187973,4
6,0.591,0.794,4,-5.935,0,0.069,0.183,0,0.292,0.875,147.974,audio_features,6GsP3uMCd0Dn5T37C93waZ,spotify:track:6GsP3uMCd0Dn5T37C93waZ,https://api.spotify.com/v1/tracks/6GsP3uMCd0Dn5T37C93waZ,https://api.spotify.com/v1/audio-analysis/6GsP3uMCd0Dn5T37C93waZ,221440,4
7,0.927,0.728,9,-7.391,0,0.215,0.17,0,0.108,0.598,97.91,audio_features,1WkJbf3RsZCtPUvxM8AdN9,spotify:track:1WkJbf3RsZCtPUvxM8AdN9,https://api.spotify.com/v1/tracks/1WkJbf3RsZCtPUvxM8AdN9,https://api.spotify.com/v1/audio-analysis/1WkJbf3RsZCtPUvxM8AdN9,182907,4
8,0.576,0.906,2,-7.677,1,0.0571,0.000332,0.0614,0.0908,0.211,127.935,audio_features,1fQaoh3imrMunWVZh5kf90,spotify:track:1fQaoh3imrMunWVZh5kf90,https://api.spotify.com/v1/tracks/1fQaoh3imrMunWVZh5kf90,https://api.spotify.com/v1/audio-analysis/1fQaoh3imrMunWVZh5kf90,323800,4
9,0.294,0.813,4,-10.772,0,0.0547,0.000101,0.000756,0.333,0.554,150.845,audio_features,4NUc1M0CS7b6zvWoyvibju,spotify:track:4NUc1M0CS7b6zvWoyvibju,https://api.spotify.com/v1/tracks/4NUc1M0CS7b6zvWoyvibju,https://api.spotify.com/v1/audio-analysis/4NUc1M0CS7b6zvWoyvibju,217800,4
