,Artist,Title,id
0,Beach House,Black Car,3pvmkjuacq6719H5su9ixl
1,Paramore,Rose-Colored Boy,2RJfK2pOvGpnxC255YOy5k
2,Paramore,Ignorance,47No93LxERvV6MtOAmQzHS
3,Paramore,All I Wanted,1Bv3h7Vc4AaYA2BcSM3rVd
4,Paramore,The Only Exception,7JIuqL4ZqkpfGKQhYlrirs
5,Brian Tuey,Damned,3R5ITCdoejoRBBaoKJyGP2
6,Aerosmith,Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr
7,The Weeknd,Shameless,6C6fHTuFUxVtJpBOOaMvJr
8,AC/DC,Shot In The Dark,6ZtrGCcn38kGImt2GPFbJB
9,Avenged Sevenfold,"Not Ready to Die - From ""Call of the Dead""",6haHIyPMUnVCZn6pHpyzM8
10,Beach House,Lose Your Smile,2p6XlybsJTLIj6GiYSMDVQ
11,Beach House,Drunk In LA,3AJsTNjbYSH4odSmP1I6ox
12,Jatin-Lalit,"Kabhi Khushi Kabhie Gham - Sad Version, 2",6csDlzCjNZXrGpuIExoDOg
13,Jatin-Lalit,Kabhi Khushi Kabhie Gham - Sad Version -1,3CEtybG3xh8q0WMwtn2c0h
14,Jatin-Lalit,Kabhi Khushi Kabhie Gham,0eGtFJBfYUKF2CvNZJEu3M
15,Beach House,L'Inconnue,2lfTg7dtS3C1fQl9i4ZBJw
16,Beach House,Pay No Mind,0qmpEzs4SWVw6zqhMyrOvc
17,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq
18,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI
19,Katy Perry,Firework,4r6eNCsrZnQWJzzvFh4nlg
20,Father John Misty,Pure Comedy,4kM5lBwpG1DEH9FNTsOyGP
21,"""Weird Al"" Yankovic","A Complicated Song (Parody of ""Complicated"" by Avril Lavigne)",1Yd0HypJ0bzilJS9MBztZZ
22,"""Weird Al"" Yankovic","TMZ (Parody of ""You Belong With Me"" by Taylor Swift)",2Y9YdGPN7AtVfpTvXfRbc6
23,"""Weird Al"" Yankovic","Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)",4vHb50VkxDzHYwLiHfWczK
24,"""Weird Al"" Yankovic",Smells Like Nirvana,3rREGSHjY1RmsTj81wL5X4
25,Five Finger Death Punch,Under and Over It,3CBoWhq9cd7WGQZ9EDQVnn
26,Five Finger Death Punch,A Little Bit Off,6GqqGv8frU7kqzXkm2rewI
27,Five Finger Death Punch,Bad Company,7uIF6RDrW2PwvvYEMkanr8
28,Five Finger Death Punch,Inside Out,163Kb2pSLLduhfbO6Zn0sL
29,Five Finger Death Punch,Wrong Side of Heaven,0gMTjqQCHmQpCqmmeCy2wP
30,The Weeknd,The Zone,46X8c9qJzpBLYcos3OX0CE
31,YG,My Nigga,02pf9lLM8Nb8l4u4ts1GWb
32,The Weeknd,Dark Times,6J7PIkhtHwmFjPLq0SyuPj
33,"""Weird Al"" Yankovic","White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)",4YSI10rj5lMY6Id5Tm3KKo
34,"""Weird Al"" Yankovic","Canadian Idiot (Parody of ""American Idiot"" by Green Day)",77lZ5O8fojbuYiEskfqJpP
35,"""Weird Al"" Yankovic","Ebay (Parody of ""I Want It That Way"" by the Backstreet Boys)",1vaico2C72imYowF4Kv04V
36,"""Weird Al"" Yankovic","The Saga Begins (Lyrical Adaption of ""American Pie"")",4PZvyMc32DVXmvk75qPVHN
37,"""Weird Al"" Yankovic","Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",6nofbMbadUdrtZmIsBHyYE
38,"""Weird Al"" Yankovic",Smells Like Nirvana,5Q1qSEtljHQzUygQTt0Ykw
39,"""Weird Al"" Yankovic",Yoda,0dgoXwibX8inebNrM85muT
40,"""Weird Al"" Yankovic",Eat It,0WuYuWhLws8VahMy2zLLRJ
41,"""Weird Al"" Yankovic",Another One Rides the Bus,7iAnfpIHu1cDsxovakGoCq
42,Bell Biv DeVoe,Poison,6m59VvDUi0UQsB2eZ9wVbH
43,Jay Rock,Hood Gone Love It (feat. Kendrick Lamar),6i6cWTCYBOKEdJnWjzm2yk
44,Tristam,Flight,4Uhty1kvytzqhwoLO2CVoi
45,Joey Bada$$,TEMPTATION,3gJDgenxLephg09x86IxPs
46,Joey Bada$$,Christ Conscious,2w9Qq5cflc8Z6BraiDCyes
47,Joey Bada$$,DEVASTATED,4PnNzWe1LJoAMD5j5RHpI0
48,Childish Gambino,IV. Sweatpants,00GOPLxW4PGQuUYdPJh8K1
49,Childish Gambino,Retro (Rough),1nRTH500HbZX8PYwT4ZMby
50,The Weeknd,House Of Balloons / Glass Table Girls,50iiDJGpAPdr2VTrz999XA
51,Playboi Carti,Old Money,0syXbGoFZbTMXm8hGCEvW0
52,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv
53,BROCKHAMPTON,NEW ORLEANS,5kkxyqYSQrnHpfsmkjKi81
54,Julien Marchal,Insight I,0x9sodbyp1KcXAMeX3830s
55,Boy Epic,Dirty Mind,2XVBMKnMHVo4nZPdFIU5bp
56,JPEGMAFIA,BALD!,5QAUGlyYPPnis3e8ln0qiz
57,6ahmer,Down Bad Freestyle,0Kx0motgon9JUJb8oNl9iG
58,Danny Brown,Ain't it Funny,7ItFoQDmQIh3MAPsxiP6Vt
59,Neutral Milk Hotel,Communist Daughter,72iYfBDEF6dNVeekA8ppyB
60,Rammstein,Ich will,14NwRQ6fnnoSfjeaHRZqz1
61,Rammstein,Engel,4L58FgCh0T0WNG0UIqxK4E
62,Rammstein,DEUTSCHLAND,1T8IRUJBga0JXioJZvxjBR
63,Rammstein,"REISE, REISE",2ZIllZ6evK7wCnul8qylKl
64,Rammstein,Sonne,5siM4eG36axvG3alLNnsAx
65,Coast Modern,Comb My Hair,3xOxcB3QJxw15nbUluPe61
66,Kanye West,Hold My Liquor,5nIu0VwPOsjkF61zfevLKh
67,Kanye West,On Sight,1gqkRc9WtOpnGIqxf2Hvzr
68,Kanye West,I Am A God,0HMCdlOPJkAGlB0MlSWIcO
69,Kanye West,New Slaves,4cAgkb0ifwn0FSHGXnr4F6
70,DJ Shadow,Building Steam With A Grain Of Salt,4cucslsiEgezV2o900Ykg3
71,Death Grips,Bubbles Buried In This Jungle,1zw1YeQW9VO4KUgvjevHFa
72,flora cash,You're Somebody Else,6iWEhoALoBFnQMNVhYY0Sc
73,flora cash,For Someone,4u42LckHYKddjPpUySqHnJ
74,flora cash,Mother to Child,3OlI9RO07e6H4l8hMi8QqG
75,flora cash,Memories of Us,09zStCx7w4uqigVByP5dji
76,flora cash,When Pleasure Fails,2lvFoilK7HKnTAOfIbA7iZ
77,flora cash,Sadness Is Taking Over,6Eos3ejwtcIinRuYDF1jim
78,flora cash,Nothing Lasts Forever (And It's Fine),2wOV3arHuKLog44jQvONty
79,flora cash,We Will Never Be This Young,0BNmpxxtfAZKa2im1oaIyC
80,flora cash,California,5DqkPFOMg32YFTNGaffQAE
81,Swans,Blind,4W5ZiER2saVe1uo7bNTWbE
82,Oliver Tree,Miracle Man,2PFnwW05Wh0MYkfZxSwfuf
83,Cavetown,Devil Town,0vf2eBw2inhl8y61cYQMv2
84,MyKey,Was It Something I Said,65j65yDSE06CNKAPjsHoJt
85,Cavetown,This Is Home,7s8VgA8OjvwBUuigKzEGBx
86,Cavetown,Lemon Boy,3Yvk0ZLxMlt6ioasvdN6vB
87,Cavetown,Boys Will Be Bugs,6suYoN4gFkanqOBn5yRnJC
88,Cavetown,Talk to Me,3znD2JTezT8ZLkp2pmft2l
89,Current Joys,Blondie,4UkCtBCYh6VMsucGMQZyh9
90,Joji,Like You Do,1MONUudxAjEk76FJvzGhuD
91,Joji,777,6H167kbd8gY2Eewzf14YjD
92,Joji,Afterthought,6zvqq50PL7io0rprbkrYc9
93,Joji,Normal People (feat. rei brown),4UiogCfzKQW98U1GTCivsn
94,Joji,Run,3AkdSFo7quCZ781KCqNK0T
95,Joji,Sanctuary,0rOLFkjY5DSIViVBNnzOuK
