,Artist,Title,id
0,The Beatles,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2
1,The Beatles,Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl
2,Marvin Gaye,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX
3,Billy Joel,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh
4,Rex Orange County,You've Got a Friend in Me,446imtjItCGwAmXySZG2FS
5,The Beatles,Let It Be - Remastered 2009,7iN1s7xHE4ifF5povM6A48
6,WALK THE MOON,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA
7,Dominic Fike,3 Nights,1tNJrcVe6gwLEiZCtprs1u
8,The Weeknd,Blinding Lights,0sf12qNH5qcw8qpgymFOqD
9,Shawn Mendes,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv
10,Pharrell Williams,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH
11,Bobby McFerrin,Don't Worry Be Happy,4hObp5bmIJ3PP3cKA9K9GY
12,Frank Sinatra,Fly Me To The Moon - Remastered,2dR5WkrpwylTuT3jRWNufa
13,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd
14,Rex Orange County,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ
15,The Beatles,Yellow Submarine - Remastered,6NqtddM4j4X9dG75yOmy0S
16,The Beatles,Yesterday - Remastered 2009,3BQHpFgAp4l80e1XslIjNI
17,Neil Diamond,Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV
18,Journey,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue
19,Ben E. King,Stand by Me,3SdTKo2uVsxFblQjpScoHy
20,Elvis Presley,Can't Help Falling in Love,44AyOl4qVkzS48vBsbNXaC
21,Wham!,Wake Me up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c
22,Elvis Presley,Jailhouse Rock,4gphxUgq0JSFv2BCLhNDiE
23,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",3mRM4NM8iO7UBqrSigCQFH
24,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg
25,Electric Light Orchestra,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp
26,The Beach Boys,Kokomo,2STQAr3BRiAeeveJ07gZh7
27,David Crowder Band,"Oh, Happiness",6l57i9haIUcYlXj6KIEne1
28,George Michael,Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY
29,James Brown & The Famous Flames,I Got You (I Feel Good),0rTkE0FmT4zT2xL6GXwosU
30,Queen,We Will Rock You - Remastered,54flyrjcdnQdco7300avMJ
31,Mike Shinoda,Hold It Together,09JoZQfNueviYXW4wQdljL
32,Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P
33,Queen,Don't Stop Me Now - 2011 Mix,7hQJA50XrCWABAu5v6QZ4i
34,The Beatles,Yellow Submarine - Remastered 2009,50xwQXPtfNZFKFeZ0XePWc
35,The Beatles,Eight Days A Week - Remastered 2009,1Dg4dFJr3HW7sbA7vPejre
