song_no,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,0.41,0.575,9,-9.839,0,0.0294,0.323,0.84,0.111,0.265,77.469,3pvmkjuacq6719H5su9ixl,251160,4
1,0.768,0.826,5,-4.904,1,0.0335,0.00199,0.000374,0.031,0.926,114.997,2RJfK2pOvGpnxC255YOy5k,212853,4
2,0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,47No93LxERvV6MtOAmQzHS,218627,4
3,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,1Bv3h7Vc4AaYA2BcSM3rVd,225787,4
4,0.452,0.563,4,-6.607,1,0.0272,0.144,0,0.143,0.209,137.715,7JIuqL4ZqkpfGKQhYlrirs,267653,3
5,0.441,0.433,2,-20.343,0,0.0348,0.911,0.962,0.118,0.26,179.94,3R5ITCdoejoRBBaoKJyGP2,98053,4
6,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,24NwBd5vZ2CK8VOQVnqdxr,274133,4
7,0.603,0.563,6,-8.313,1,0.027,0.147,0,0.109,0.234,100.06,6C6fHTuFUxVtJpBOOaMvJr,253507,4
8,0.599,0.787,2,-4.708,1,0.0338,2.07E-05,5.27E-05,0.064,0.822,114.065,6ZtrGCcn38kGImt2GPFbJB,185133,4
9,0.434,0.984,10,-6.201,1,0.123,0.000178,0.000226,0.08,0.158,160.011,6haHIyPMUnVCZn6pHpyzM8,425264,4
10,0.389,0.494,9,-8.568,1,0.0297,0.29,0.777,0.088,0.221,132.668,2p6XlybsJTLIj6GiYSMDVQ,249253,4
11,0.431,0.733,0,-6.427,0,0.0257,0.26,0.866,0.184,0.22,105.921,3AJsTNjbYSH4odSmP1I6ox,239307,4
12,0.343,0.464,1,-5.976,1,0.0282,0.705,0.000317,0.107,0.306,83.034,6csDlzCjNZXrGpuIExoDOg,112000,4
13,0.331,0.398,1,-9.996,1,0.0325,0.768,0.000476,0.0931,0.227,79.924,3CEtybG3xh8q0WMwtn2c0h,112107,4
14,0.429,0.763,1,-5.91,1,0.107,0.524,0.000199,0.127,0.668,100.835,0eGtFJBfYUKF2CvNZJEu3M,471947,4
15,0.11,0.591,10,-8.84,1,0.0318,0.884,0.777,0.114,0.107,80.595,2lfTg7dtS3C1fQl9i4ZBJw,264747,4
